'AM General Hummer SUV 2000',SUV,000001.jpg,1,112,7,853,717,,classes,counts,percents,1,'AM General Hummer SUV 2000',SUV
'AM General Hummer SUV 2000',SUV,000002.jpg,1,48,24,441,202,,COUPE,2801,0.1730614767,2,'Acura RL Sedan 2012',SEDAN
'AM General Hummer SUV 2000',SUV,000006.jpg,1,10,6,250,110,,WAGON,503,0.0310781588,6,'Acura Integra Type R 2001',COUPE
'AM General Hummer SUV 2000',SUV,000008.jpg,1,1,13,113,83,,HATCHBACK,1103,0.0681495212,8,'Aston Martin V8 Vantage Convertible 2012',CONVERTIBLE
'AM General Hummer SUV 2000',SUV,000009.jpg,1,15,111,271,272,,CONVERTIBLE,2058,0.1271547729,9,'Aston Martin V8 Vantage Coupe 2012',COUPE
'AM General Hummer SUV 2000',SUV,000010.jpg,1,14,18,148,107,,MINIVAN,498,0.0307692308,10,'Aston Martin Virage Convertible 2012',CONVERTIBLE
'AM General Hummer SUV 2000',SUV,000011.jpg,1,5,8,91,59,,,16185,,11,'Aston Martin Virage Coupe 2012',COUPE
'AM General Hummer SUV 2000',SUV,000015.jpg,1,4,15,94,63,,,,,15,'Audi R8 Coupe 2012',COUPE
'AM General Hummer SUV 2000',SUV,000016.jpg,1,12,16,117,71,,,,,16,'Audi V8 Sedan 1994',SEDAN
'AM General Hummer SUV 2000',SUV,000017.jpg,1,1,5,160,89,,,,,17,'Audi 100 Sedan 1994',SEDAN
'AM General Hummer SUV 2000',SUV,000019.jpg,1,86,81,371,252,,,,,19,'Audi TT Hatchback 2011',HATCHBACK
'AM General Hummer SUV 2000',SUV,000020.jpg,1,26,32,677,418,,,,,20,'Audi S6 Sedan 2011',SEDAN
'AM General Hummer SUV 2000',SUV,000021.jpg,1,50,127,587,396,,,,,21,'Audi S5 Convertible 2012',CONVERTIBLE
'AM General Hummer SUV 2000',SUV,000022.jpg,1,6,9,124,89,,,,,22,'Audi S5 Coupe 2012',COUPE
