'AM General Hummer SUV 2000',SUV,000003.jpg,1,7,4,277,180,,SEDAN,4122,0.2546802595,3,'Acura TL Sedan 2012',SEDAN
'AM General Hummer SUV 2000',SUV,000004.jpg,1,33,50,197,150,,SUV,3095,0.1912264442,4,'Acura TL Type-S 2008',SEDAN
'AM General Hummer SUV 2000',SUV,000005.jpg,1,5,8,83,58,,VAN,578,0.0357120791,5,'Acura TSX Sedan 2012',SEDAN
'AM General Hummer SUV 2000',SUV,000007.jpg,1,56,1,394,176,,TRUCK,1427,0.0881680568,7,'Acura ZDX Hatchback 2012',HATCHBACK
'AM General Hummer SUV 2000',SUV,000012.jpg,1,29,18,157,86,,,,,12,'Audi RS 4 Convertible 2008',CONVERTIBLE
'AM General Hummer SUV 2000',SUV,000013.jpg,1,1,1,300,179,,,,,13,'Audi A5 Coupe 2012',COUPE
'AM General Hummer SUV 2000',SUV,000014.jpg,1,9,1,152,103,,,,,14,'Audi TTS Coupe 2012',COUPE
'AM General Hummer SUV 2000',SUV,000018.jpg,1,46,84,661,428,,,,,18,'Audi 100 Wagon 1994',WAGON
'AM General Hummer SUV 2000',SUV,000025.jpg,1,60,76,593,393,,,,,25,'Audi TT RS Coupe 2012',COUPE
'AM General Hummer SUV 2000',SUV,000027.jpg,1,11,31,490,266,,,,,27,'BMW 1 Series Convertible 2012',CONVERTIBLE
'AM General Hummer SUV 2000',SUV,000031.jpg,1,125,645,1845,1421,,,,,31,'BMW 6 Series Convertible 2007',CONVERTIBLE
'AM General Hummer SUV 2000',SUV,000036.jpg,1,13,235,2021,1253,,,,,36,'BMW M6 Convertible 2010',CONVERTIBLE
'AM General Hummer SUV 2000',SUV,000040.jpg,1,111,213,907,683,,,,,40,'Bentley Arnage Sedan 2009',SEDAN
'AM General Hummer SUV 2000',SUV,000045.jpg,1,6,7,94,68,,,,,45,'Bugatti Veyron 16.4 Convertible 2009',CONVERTIBLE
'AM General Hummer SUV 2000',SUV,000049.jpg,1,9,33,479,276,,,,,49,'Buick Verano Sedan 2012',SEDAN
'AM General Hummer SUV 2000',SUV,000050.jpg,1,9,3,93,41,,,,,50,'Buick Enclave SUV 2012',SUV
'AM General Hummer SUV 2000',SUV,000052.jpg,1,11,60,796,535,,,,,52,'Cadillac SRX SUV 2012',SUV
'AM General Hummer SUV 2000',SUV,000055.jpg,1,8,5,85,69,,,,,55,'Chevrolet Corvette Convertible 2012',CONVERTIBLE
'AM General Hummer SUV 2000',SUV,000068.jpg,1,18,30,133,93,,,,,68,'Chevrolet TrailBlazer SS 2009',SUV
'AM General Hummer SUV 2000',SUV,000070.jpg,1,31,20,226,119,,,,,70,'Chevrolet Silverado 1500 Classic Extended Cab 2007',TRUCK
